FW_SR,1024,16,1.1680
FW_SR,1024,8,1.8686
FW_SR,1024,16,1.1443
FW_SR,1024,64,0.6597
FW_SR,1024,128,0.6485
FW_SR,1024,256,0.7848
FW_SR,2048,8,14.8329
FW_SR,2048,16,9.1542
FW_SR,2048,64,5.2033
FW_SR,2048,128,4.7637
FW_SR,2048,256,5.4616
FW_SR,4096,8,119.1221
FW_SR,4096,16,73.9546
FW_SR,4096,64,41.3536
FW_SR,4096,128,36.8495
FW_SR,4096,256,43.4698
FW_SR,1024,8,1.8680
FW_SR,1024,16,1.1446
FW_SR,1024,64,0.6587
FW_SR,1024,128,0.6435
FW_SR,1024,256,0.7738
FW_SR,2048,8,14.8272
FW_SR,2048,16,9.1546
FW_SR,2048,64,5.2038
FW_SR,2048,128,4.8485
FW_SR,2048,256,5.4471
FW_SR,4096,8,119.0611
FW_SR,4096,16,74.1042
FW_SR,4096,64,41.2508
FW_SR,4096,128,36.6472
FW_SR,4096,256,43.5234
FW_SR,1024,8,1.8512
FW_SR,1024,16,1.1448
FW_SR,1024,64,0.6794
FW_SR,1024,128,0.6623
FW_SR,1024,256,0.7742
FW_SR,2048,8,14.8263
FW_SR,2048,16,9.1571
FW_SR,2048,64,5.2217
FW_SR,2048,128,4.7839
FW_SR,2048,256,5.4346
FW_SR,4096,8,119.0585
FW_SR,4096,16,74.1061
FW_SR,4096,64,41.3641
FW_SR,4096,128,36.5410
FW_SR,4096,256,43.2097
FW_SR,1024,8,1.8521
FW_SR,1024,16,1.1449
FW_SR,1024,64,0.6593
FW_SR,1024,128,0.6464
FW_SR,1024,256,0.7742
FW_SR,2048,8,14.8246
FW_SR,2048,16,9.1641
FW_SR,2048,64,5.2179
FW_SR,2048,128,4.8854
FW_SR,2048,256,5.6372
FW_SR,4096,8,118.9873
FW_SR,4096,16,74.0527
FW_SR,4096,64,41.3672
FW_SR,4096,128,36.5955
FW_SR,4096,256,43.3957
FW_SR,1024,8,1.8503
FW_SR,1024,16,1.1450
FW_SR,1024,64,0.6607
FW_SR,1024,128,0.6523
FW_SR,1024,256,0.7701
FW_SR,2048,8,14.8829
FW_SR,2048,16,9.4911
FW_SR,2048,64,5.2161
FW_SR,2048,128,4.7873
FW_SR,2048,256,5.4641
FW_SR,4096,8,119.2741
FW_SR,4096,16,73.9405
FW_SR,4096,64,41.2698
FW_SR,4096,128,36.5079
FW_SR,4096,256,43.4705
FW_SR,1024,8,1.8687
FW_SR,1024,16,1.1450
FW_SR,1024,64,0.6592
FW_SR,1024,128,0.6429
FW_SR,1024,256,0.7722
FW_SR,2048,8,14.8242
FW_SR,2048,16,9.1632
FW_SR,2048,64,5.2299
FW_SR,2048,128,4.8129
FW_SR,2048,256,5.5337
FW_SR,4096,8,122.9387
FW_SR,4096,16,74.0411
FW_SR,4096,64,41.3348
FW_SR,4096,128,36.9496
FW_SR,4096,256,44.3826
FW_SR,1024,8,1.8656
FW_SR,1024,16,1.1450
FW_SR,1024,64,0.6596
FW_SR,1024,128,0.6442
FW_SR,1024,256,0.7735
FW_SR,2048,8,14.8255
FW_SR,2048,16,9.1525
FW_SR,2048,64,5.2362
FW_SR,2048,128,4.9872
FW_SR,2048,256,5.4227
FW_SR,4096,8,119.0636
FW_SR,4096,16,74.0964
FW_SR,4096,64,41.3699
FW_SR,4096,128,36.8187
FW_SR,4096,256,43.2393
